FILE_SIZE,SECURITY_LEVEL,HASH_TIME,ENCRYPT_TIME,DECRYPT_TIME,HASH0,HASH1
sample_10,1024,114,4,5,MICrQ+O97KzhV8L9iYDtPP18f4k=,MICrQ+O97KzhV8L9iYDtPP18f4k=
sample,1024,153,4,2,crMp04hqvjix8ZDDdob5wYqqjyc=,crMp04hqvjix8ZDDdob5wYqqjyc=
sample_100,1024,605,3,1,Be19RBdr4B+v7Vb+nAGAB7/WJQg=,Be19RBdr4B+v7Vb+nAGAB7/WJQg=
sample_10,2048,85,26,5,MICrQ+O97KzhV8L9iYDtPP18f4k=,MICrQ+O97KzhV8L9iYDtPP18f4k=
sample,2048,161,25,1,crMp04hqvjix8ZDDdob5wYqqjyc=,crMp04hqvjix8ZDDdob5wYqqjyc=
sample_100,2048,651,25,2,Be19RBdr4B+v7Vb+nAGAB7/WJQg=,Be19RBdr4B+v7Vb+nAGAB7/WJQg=
sample_10,3072,87,82,5,MICrQ+O97KzhV8L9iYDtPP18f4k=,MICrQ+O97KzhV8L9iYDtPP18f4k=
sample,3072,280,83,2,crMp04hqvjix8ZDDdob5wYqqjyc=,crMp04hqvjix8ZDDdob5wYqqjyc=
sample_100,3072,874,82,2,Be19RBdr4B+v7Vb+nAGAB7/WJQg=,Be19RBdr4B+v7Vb+nAGAB7/WJQg=
